source,target,corr,abscorr
KLF4,NFIB,0.920086739,0.920086739
KLF4,NCOR2,-0.939558845,0.939558845
KLF4,TCEAL8,-0.933474151,0.933474151
KLF4,NOTCH3,0.902568815,0.902568815
KLF4,TBL1X,0.930353378,0.930353378
KLF4,TCEB2,0.935766014,0.935766014
KLF4,KLF6,0.920243331,0.920243331
KLF4,LBH,0.984064548,0.984064548
KLF4,LMCD1,0.953104533,0.953104533
KLF4,LMO2,-0.939407834,0.939407834
KLF4,MAFB,0.963665731,0.963665731
KLF4,MCTS1,-0.937351845,0.937351845
KLF4,MXD1,0.961283045,0.961283045
KLF4,NFAT5,0.904761164,0.904761164
KLF4,NFE2L3,0.969238749,0.969238749
KLF4,NFKBIZ,0.956134424,0.956134424
KLF4,NR4A2,0.963655046,0.963655046
KLF4,OSR2,0.950736736,0.950736736
KLF4,PNRC2,0.979979405,0.979979405
KLF4,PRMT6,-0.914685945,0.914685945
KLF4,PTTG1,0.97641639,0.97641639
KLF4,RBM39,0.936287506,0.936287506
KLF4,RNF10,0.936474363,0.936474363
KLF4,SERTAD1,0.973910241,0.973910241
KLF4,SIRT1,0.94757348,0.94757348
KLF4,SRSF2,0.967673653,0.967673653
KLF4,STAT4,-0.920447465,0.920447465
KLF4,TAF4B,0.971696679,0.971696679
KLF4,TIMELESS,0.971502746,0.971502746
KLF4,TRIB3,-0.988208662,0.988208662
KLF4,TRIM25,-0.947882687,0.947882687
KLF4,TSC22D2,0.918456325,0.918456325
KLF4,UHRF1,0.95313685,0.95313685
KLF4,ZBTB43,0.947358441,0.947358441
KLF4,ZNF14,0.934176614,0.934176614
KLF4,ZNF165,0.985054061,0.985054061
KLF4,ZNF394,0.98631162,0.98631162
KLF4,ZNF551,0.958837563,0.958837563
KLF4,ZNF652,0.904083725,0.904083725
KLF4,ZNF682,0.951988357,0.951988357
KLF4,ZNF750,0.973649733,0.973649733
KLF4,ZNF814,-0.95503601,0.95503601
JUN,NFIB,0.968428383,0.968428383
JUN,PEG3,0.932339904,0.932339904
JUN,PHTF1,0.928594089,0.928594089
JUN,SIX4,0.925297397,0.925297397
JUN,SMARCA2,0.904451899,0.904451899
JUN,SRRT,0.94784562,0.94784562
JUN,STAT1,-0.975625632,0.975625632
JUN,TCF12,-0.919108707,0.919108707
JUN,TP63,0.942609321,0.942609321
JUN,NUPR1,-0.911285491,0.911285491
JUN,TCEAL8,-0.928744152,0.928744152
JUN,NOTCH3,0.957251759,0.957251759
JUN,TBL1X,0.940907222,0.940907222
JUN,TCEB2,0.987091991,0.987091991
JUN,UXT,-0.96214176,0.96214176
JUN,JUNB,0.956573642,0.956573642
JUN,KANK1,0.949514803,0.949514803
JUN,KLF10,0.905955455,0.905955455
JUN,KLF2,0.948013861,0.948013861
JUN,KLF4,0.959782241,0.959782241
JUN,KLF6,0.96109823,0.96109823
JUN,LBH,0.94219058,0.94219058
JUN,LMCD1,0.905209568,0.905209568
JUN,MAFB,0.992663771,0.992663771
JUN,MCTS1,-0.957364549,0.957364549
JUN,MSX1,0.960921655,0.960921655
JUN,MXD1,0.914363366,0.914363366
JUN,MYC,0.919172807,0.919172807
JUN,NFAT5,0.97770402,0.97770402
JUN,NFE2L3,0.935773491,0.935773491
JUN,NR4A2,0.967071051,0.967071051
JUN,OSR2,0.983117423,0.983117423
JUN,PNRC2,0.927646912,0.927646912
JUN,PRMT6,-0.978497894,0.978497894
JUN,PTTG1,0.963531984,0.963531984
JUN,RNF10,0.947895593,0.947895593
JUN,SERTAD1,0.995684426,0.995684426
JUN,SIRT1,0.936903899,0.936903899
JUN,SRSF2,0.977008034,0.977008034
JUN,TAF4B,0.991833386,0.991833386
JUN,TIMELESS,0.990065993,0.990065993
JUN,TOB1,0.960189794,0.960189794
JUN,TRIB3,-0.98765347,0.98765347
JUN,TRIM25,-0.961931242,0.961931242
