name,fc,modulegroup,istf,istr,group,rank
ZNF586,nan,-,True,True,tfnonplac,8
TIMP2,3.376000,P,False,False,plac20,9
CTCF,nan,-,True,True,tfnonplac,11
ZNF682,-1.912000,N,True,True,tfboth,4
ZNF260,nan,-,True,True,tfplac,6
EGR1,-5.121000,N,False,True,nonplac20,2
PLAC1,4.501000,P,False,False,plac20,0
PAM,3.386000,P,False,False,plac20,8
ZNF627,nan,-,True,True,tfnonplac,15
ZNF350,nan,-,True,True,tfnonplac,16
PAPPA,3.651000,P,False,False,plac20,4
ZNF419,nan,-,True,True,tfnonplac,35
ZBTB4,nan,-,True,True,tfnonplac,14
ZNF331,nan,-,True,True,tfplac,8
MYC,-2.254000,N,True,True,tfnonplac,33
JUN,-5.770000,N,True,True,nonplac20,0
ZNF329,nan,-,True,True,tfnonplac,19
ZNF444,nan,-,True,True,tfnonplac,6
TCL1B,4.307000,N,False,False,nonplac20,6
RGS2,-4.404000,N,False,False,nonplac20,5
IGFBP3,3.564000,P,False,False,plac20,6
ZNF320,nan,-,True,True,tfnonplac,29
ZNF223,nan,-,True,True,tfnonplac,20
ITGA5,2.860000,P,False,False,plac20,15
ZNF626,nan,-,True,True,tfnonplac,32
ZNF529,nan,-,True,True,tfboth,2
KLF10,-1.971000,N,True,True,tfboth,6
TFCP2,nan,-,True,True,tfplac,5
ZBTB34,nan,-,True,True,tfnonplac,40
CSF1R,4.181000,N,False,False,nonplac20,7
ESAM,2.788000,P,False,False,plac20,16
ZNF33B,nan,-,True,True,tfplac,9
NFKB1,nan,-,True,True,tfnonplac,18
ZNF34,nan,-,True,True,tfnonplac,3
ZNF69,nan,-,True,True,tfboth,3
FOS,-5.093000,N,False,True,nonplac20,3
E2F3,-1.458000,N,True,True,tfnonplac,10
CD24,-2.698000,P,False,False,plac20,18
ZNF621,nan,-,True,True,tfplac,7
ZNF274,1.142000,N,True,True,tfplac,1
NFYC,nan,-,True,True,tfnonplac,24
RELA,nan,-,True,True,tfnonplac,2
PRDM4,nan,-,True,True,tfplac,11
ZNF212,nan,-,True,True,tfnonplac,17
ERVFRD-1,-3.811000,N,False,False,nonplac20,11
PNP,-3.877000,N,False,False,nonplac20,10
ZNF549,-1.041000,N,True,True,tfplac,10
GRHL2,1.102000,N,True,True,tfnonplac,25
CCND1,-3.574000,N,False,True,nonplac20,15
ZNF266,nan,-,True,True,tfnonplac,13
PTTG1,-3.564000,N,False,True,nonplac20,16
RFX5,-1.523000,N,True,True,tfplac,12
NFKBIZ,-3.777000,N,False,True,nonplac20,13
HES1,-3.346000,N,True,True,tfnonplac,9
ZNF394,-1.096000,N,True,True,tfboth,8
IRF9,2.316000,N,True,True,tfnonplac,34
CYP11A1,2.767000,P,False,False,plac20,17
ZFX,nan,-,True,True,tfboth,7
ZNF823,nan,-,True,True,tfplac,2
SRF,-1.259000,N,True,True,tfnonplac,7
SP2,nan,-,True,True,tfnonplac,38
ASNS,3.904000,N,False,False,nonplac20,9
COLEC12,-3.541000,P,False,False,plac20,7
SLC27A2,-4.058000,N,False,False,nonplac20,8
EGR2,-1.357000,N,True,True,tfplac,3
SP1,nan,-,True,True,tfnonplac,5
PHGDH,2.960000,P,False,False,plac20,12
ATF4,-1.895000,N,True,True,tfplac,13
ZNF75A,nan,-,True,True,tfnonplac,31
MTF1,nan,-,True,True,tfnonplac,12
ZNF322,nan,-,True,True,tfnonplac,27
CRH,4.364000,P,False,False,plac20,1
GABPA,nan,-,True,True,tfnonplac,28
NFIB,-1.552000,N,True,True,tfnonplac,22
ZNF770,nan,-,True,True,tfboth,0
HOPX,3.549000,N,False,True,nonplac20,17
HTRA4,2.952000,P,False,False,plac20,13
SERPINF1,-2.934000,P,False,False,plac20,14
MPP1,-3.783000,N,False,False,nonplac20,12
NUPR1,3.700000,N,False,True,nonplac20,14
MT1E,3.119000,P,False,False,plac20,11
FOSB,-5.243000,N,False,True,nonplac20,1
DENND2A,3.693000,P,False,False,plac20,3
ZNF219,nan,-,True,True,tfnonplac,4
CTGF,-3.247000,P,False,False,plac20,10
SLC22A11,-2.687000,P,False,False,plac20,19
ZNF430,nan,-,True,True,tfnonplac,21
STAT4,2.513000,N,True,True,tfnonplac,36
ISYNA1,-3.512000,N,False,False,nonplac20,18
TAGLN,4.471000,N,False,False,nonplac20,4
ZNF791,nan,-,True,True,tfnonplac,30
ZNF548,nan,-,True,True,tfnonplac,26
NREP,-3.438000,N,False,False,nonplac20,19
ZNF28,nan,-,True,True,tfnonplac,37
JDP2,nan,-,True,True,tfnonplac,0
SLC7A1,3.594000,P,False,False,plac20,5
STAT1,2.917000,N,True,True,tfnonplac,23
ZBTB14,nan,-,True,True,tfnonplac,1
ZNF17,nan,-,True,True,tfboth,5
ZNF787,nan,-,True,True,tfplac,4
NT5E,3.978000,P,False,False,plac20,2
MZF1,nan,-,True,True,tfplac,0
ZNF483,nan,-,True,True,tfboth,1
ELF5,-2.496000,N,True,True,tfnonplac,39
ESRRA,nan,-,True,True,tfplac,14
